00000000, 31.399052779179, 49.139953911676
00000007, 31.402340959043, 49.140180064969
00000014, 31.405272852118, 49.139837689920
00000021, 31.408094894959, 49.140017137409
00000027, 31.410734269042, 49.139925377501
00000032, 31.413018261508, 49.139942526050
00000038, 31.415242915516, 49.139959980598
00000044, 31.417607677465, 49.139959367073
00000049, 31.419990079106, 49.139951633128
00000055, 31.422355961180, 49.139953810679
00000061, 31.424700693482, 49.139955621170
00000067, 31.426983184238, 49.139954573556
00000073, 31.429324555320, 49.139954161989
00000078, 31.431566078986, 49.139954560366
00000084, 31.433864446427, 49.139954626680
00000090, 31.436255769984, 49.139954462208
