00000000, 31.399052779179, 49.139953911676
00000007, 31.166099623369, 49.149081398549
00000014, 30.490274001334, 49.147822158343
00000021, 29.508845268950, 49.147300146243
00000027, 28.201120933053, 49.146999820095
00000032, 26.812969318970, 49.147356417982
00000038, 25.212172326537, 49.147222494703
00000044, 23.229323988982, 49.146961435294
00000049, 20.936250895066, 49.146919114937
00000055, 18.367667182679, 49.146904469542
00000061, 15.525956207388, 49.146810215419
00000067, 12.469540239337, 49.146729663799
00000073,  9.033051007203, 49.146668332032
00000078,  5.451857955184, 49.146600864272
00000084,  1.477172034023, 49.146525189000
00000090, -2.990379099942, 49.146449718975
