00000000, 47.38468,  0.00000,  0.00000, 47.38468,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000007, 46.96177,  0.00000,  0.39617, 47.35794,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000014, 46.51339,  0.00000,  0.31876, 46.83215,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000021, 46.14981,  0.00000,  0.26521, 46.41502,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000027, 45.77609,  0.00000,  0.25024, 46.02633,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000032, 45.46591,  0.00000,  0.27483, 45.74074,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000038, 45.16432,  0.00000,  0.26372, 45.42805,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000044, 44.84171,  0.00000,  0.24514, 45.08685,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000049, 44.51626,  0.00000,  0.24273, 44.75899,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000055, 44.19489,  0.00000,  0.24156, 44.43645,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000061, 43.87687,  0.00000,  0.23493, 44.11179,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000067, 43.56743,  0.00000,  0.22951, 43.79694,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000073, 43.25062,  0.00000,  0.22540, 43.47603,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000078, 42.94795,  0.00000,  0.22087, 43.16882,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000084, 42.63810,  0.00000,  0.21586, 42.85396,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
00000090, 42.31626,  0.00000,  0.21094, 42.52721,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000
